State,City,Neighborhood,Average Rent (per SqFoot)
CA,Los Angeles,Jefferson Park,1.59
CA,Los Angeles,El Sereno,1.77
CA,Los Angeles,Winnetka,1.83
CA,Los Angeles,Glassell Park,1.83
CA,Los Angeles,Cypress Park,1.83
CA,Los Angeles,Panorama City,1.89
CA,Los Angeles,Leimert Park,1.90
CA,Los Angeles,North Hills,1.91
CA,Los Angeles,Shadow Hills,1.93
CA,Los Angeles,Sun Valley,1.94
CA,Los Angeles,Hyde Park,1.96
CA,Los Angeles,Pacoima,1.97
CA,Los Angeles,Arleta,1.97
CA,Los Angeles,Boyle Heights,1.98
CA,Los Angeles,Sunland,1.99
CA,Los Angeles,Reseda,2.03
CA,Los Angeles,Eagle Rock,2.05
CA,Los Angeles,Vermont - Slauson,2.06
CA,Los Angeles,Mission Hills,2.09
CA,Los Angeles,Van Nuys,2.10
CA,Los Angeles,Tarzana,2.11
CA,Los Angeles,Manchester Square,2.13
CA,Los Angeles,Gramercy Park,2.13
CA,Los Angeles,Mount Washington,2.14
CA,Los Angeles,Baldwin Hills - Crenshaw,2.15
CA,Los Angeles,Lake View Terrace,2.17
CA,Los Angeles,Sylmar,2.20
CA,Los Angeles,West Hills,2.21
CA,Los Angeles,Lake Balboa,2.21
CA,Los Angeles,West Adams,2.23
CA,Los Angeles,Northridge,2.30
CA,Los Angeles,Vermont Square,2.31
CA,Los Angeles,South Park,2.31
CA,Los Angeles,Granada Hills,2.31
CA,Los Angeles,Chatsworth,2.34
CA,Los Angeles,Lincoln Heights,2.36
CA,Los Angeles,Canoga Park,2.38
CA,Los Angeles,Highland Park,2.38
CA,Los Angeles,Encino,2.49
CA,Los Angeles,Porter Ranch,2.50
CA,Los Angeles,Windsor Square,2.50
CA,Los Angeles,Los Feliz,2.51
CA,Los Angeles,North Hollywood,2.51
CA,Los Angeles,East Hollywood,2.54
CA,Los Angeles,Sherman Oaks,2.54
CA,Los Angeles,Atwater Village,2.58
CA,Los Angeles,Silver Lake,2.59
CA,Los Angeles,Westlake,2.63
CA,Los Angeles,Griffith Park,2.66
CA,Los Angeles,Echo Park,2.74
CA,Los Angeles,Woodland Hills,2.86
CA,Los Angeles,Beverlywood,2.95
CA,Los Angeles,Studio City,2.95
CA,Los Angeles,Palms,2.97
CA,Los Angeles,Valley Village,2.99
CA,Los Angeles,Rancho Park,3.07
CA,Los Angeles,Hancock Park,3.12
CA,Los Angeles,Hollywood,3.13
CA,Los Angeles,Park West,3.15
CA,Los Angeles,Fox Hills,3.15
CA,Los Angeles,Elysian Park,3.19
CA,Los Angeles,Chinatown,3.27
CA,Los Angeles,McLaughlin,3.35
CA,Los Angeles,Park East,3.36
CA,Los Angeles,Jefferson,3.36
CA,Los Angeles,Clarkdale,3.36
CA,Los Angeles,Blair Hills,3.36
CA,Los Angeles,Playa del Rey,3.39
CA,Los Angeles,Mar Vista,3.44
CA,Los Angeles,Westchester,3.44
CA,Los Angeles,West Los Angeles,3.47
CA,Los Angeles,Sawtelle,3.47
CA,Los Angeles,Fairfax,3.63
CA,Los Angeles,Washington Culver,3.73
CA,Los Angeles,McManus,3.73
CA,Los Angeles,Brentwood,3.76
CA,Los Angeles,Bel Air,3.76
CA,Los Angeles,Playa Vista,4.12
CA,Los Angeles,Sunset Park,4.14
CA,Los Angeles,Ocean Park,4.14
CA,Los Angeles,Exposition Park,4.16
CA,Los Angeles,Adams - Normandie,4.20
CA,Los Angeles,Del Rey,4.21
CA,Los Angeles,Carthay,4.34
CA,Los Angeles,Westwood,4.35
CA,Los Angeles,Venice,4.37
CA,Los Angeles,Century City,4.45
CA,Los Angeles,University Park,4.60
CA,Los Angeles,Pacific Palisades,4.76
CA,Los Angeles,Downtown Santa Monica,5.19
