Neighborhood;Average Rent (per SF)
Jefferson Park;1,59
El Sereno;1,77
Winnetka;1,83
Glassell Park;1,83
Cypress Park;1,83
Vermont Vista;1,85
Vermont Knolls;1,85
Panorama City;1,89
Leimert Park;1,9
North Hills;1,91
Shadow Hills;1,93
Sun Valley;1,94
Hyde Park;1,96
Arlington Heights;1,96
Pacoima;1,97
Arleta;1,97
Boyle Heights;1,98
Harvard Heights;1,98
Sunland;1,99
Reseda;2,03
Eagle Rock;2,05
Vermont - Slauson;2,06
Mission Hills;2,09
Van Nuys;2,1
Tarzana;2,11
Manchester Square;2,13
Harvard Park;2,13
Gramercy Park;2,13
Chesterfield Square;2,13
Mount Washington;2,14
Baldwin Hills - Crenshaw;2,15
Lake View Terrace;2,17
Sylmar;2,2
Montecio Heights;2,2
West Hills;2,21
Lake Balboa;2,21
West Adams;2,23
Valley Glen;2,25
Northridge;2,3
Vermont Square;2,31
South Park;2,31
Granada Hills;2,31
Chatsworth;2,34
Lincoln Heights;2,36
Canoga Park;2,38
Highland Park;2,38
Koreatown;2,42
Encino;2,49
Porter Ranch;2,5
Windsor Square;2,5
Los Feliz;2,51
North Hollywood;2,51
Elysian Valley;2,52
East Hollywood;2,54
Sherman Oaks;2,54
Pico - Robertson;2,56
Atwater Village;2,58
Silver Lake;2,59
Westlake;2,63
Griffith Park;2,66
Larchmont;2,66
Mid-City;2,68
Echo Park;2,74
Woodland Hills;2,86
Hollywood Hills;2,91
Beverlywood;2,95
Studio City;2,95
Palms;2,97
Toluka Lake;2,98
Valley Village;2,99
Rancho Park;3,07
Cheviot Hills;3,07
Hancock Park;3,12
Hollywood;3,13
Sunkist Park;3,15
Studio Village;3,15
Park West;3,15
Fox Hills;3,15
Blanco - Culver Crest;3,15
Hollywood Hills West;3,18
Elysian Park;3,19
Chinatown;3,27
Mid-Wilshire;3,32
McLaughlin;3,35
Park East;3,36
Jefferson;3,36
Clarkdale;3,36
Blair Hills;3,36
Downtown Los Angeles;3,38
Playa del Rey;3,39
Mar Vista;3,44
Westchester;3,44
West Los Angeles;3,47
Sawtelle;3,47
Fairfax;3,63
Pico - Union;3,65
Washington Culver;3,73
McManus;3,73
Lucerne - Higuera;3,73
Downtown Culver City;3,73
Brentwood;3,76
Bel Air;3,76
Wilshire - Montana;3,89
Playa Vista;4,12
Sunset Park;4,14
Ocean Park;4,14
Exposition Park;4,16
Adams - Normandie;4,2
Del Rey;4,21
Carthay;4,34
Westwood;4,35
Venice;4,37
Century City;4,45
Historic South-Central;4,54
Pico;4,59
University Park;4,6
Beverly Grove;4,61
Pacific Palisades;4,76
Mid-City Santa Monica;5,1
Downtown Santa Monica;5,19
North of Montana;5,96
